Hybrid,Genetics,Mat
1319YHR,137.74124190006614,B_130
1637YHR,137.74124190006614,B_130
2160YHR,137.74124190006614,B_130
2369/DK3IIH6,117.96668782030775,B_115
2369/LH123HT,123.75441052251621,B_120
2369/PHN82,114.01782395884341,B_115
2369/PHZ51,120.72508967442826,B_120
2FACC/DK3IIH6,115.51220765544954,B_115
3899VT2PRIB,105.65910484406754,B_105
4N506/DK3IIH6,115.51220765544954,B_115
5618STXRIB,125.24403656084971,B_120
5624VT3PRIB,110.5658864113617,B_110
6F629/DK3IIH6,115.51220765544954,B_115
740/PB80,114.73834751068375,B_115
740/PHB47,114.73834751068375,B_115
A3G-3-3-1-313/DK3IIH6,118.8061743932927,B_120
A632/DK3IIH6,115.51220765544954,B_115
A634/DK3IIH6,115.51220765544954,B_115
A634/LH82,108.48405900854699,B_108
A634/PHZ51,108.48405900854699,B_108
A635/DK3IIH6,115.51220765544954,B_115
A635/LH82,108.48405900854699,B_108
A635/PHZ51,108.48405900854699,B_108
A641/LH82,106.4540762561588,B_105
A641/PHZ51,106.4540762561588,B_105
A672/LH82,110.5658864113617,B_110
A672/PHZ51,110.5658864113617,B_110
A679/DK3IIH6,114.67175644425681,B_115
A679/LH82,109.1619317069632,B_108
A679/PHZ51,109.1619317069632,B_108
A680/DK3IIH6,115.51220765544954,B_115
A680/LH82,108.48405900854699,B_108
A680/PHZ51,108.48405900854699,B_108
A7768GT3110,134.73440504365078,B_130
AH83/DK3IIH6,117.96668782030775,B_115
B103/LH82,106.7930126053669,B_105
B103/PHB47,118.75013021991856,B_120
B103/PHZ51,109.90989963562444,B_108
B104/DK3IIH6,115.51220765544954,B_115
B104/LH82,115.82525178855309,B_115
B104/PHZ51,115.82525178855309,B_115
B105/DK3IIH6,115.51220765544954,B_115
B105/LH82,110.6578675642857,B_110
B105/PHZ51,110.6578675642857,B_110
B106/LH82,109.1619317069632,B_108
B106/PHZ51,109.1619317069632,B_108
B109/DK3IIH6,115.51220765544954,B_115
B109/LH82,118.75013021991856,B_120
B109/PHZ51,118.75013021991856,B_120
B110/DK3IIH6,115.51220765544954,B_115
B111/DK3IIH6,115.51220765544954,B_115
B111/LH82,109.90989963562444,B_108
B111/PHZ51,109.90989963562444,B_108
B118/PHB47,108.48405900854699,B_108
B119/DK3IIH6,115.51220765544954,B_115
B119/LH82,110.6118769878237,B_110
B119/PHZ51,110.6118769878237,B_110
B14/DK3IIH6,120.35787038392854,B_120
B14A/C103,110.6118769878237,B_110
B14A/DK3IIH6,111.54575118691488,B_110
B14A/H95,122.56836429897663,B_120
B14A/LH82,101.35043854434295,B_100
B14A/MO17,123.96336153529809,B_120
B14A/OH43,122.03371293342497,B_120
B2/DK3IIH6,120.35787038392854,B_120
B37/C103,110.6118769878237,B_110
B37/H95,122.41858293780487,B_120
B37/MO17,124.0903165673077,B_120
B37/OH43,123.79137584306191,B_120
B37/PHZ51,126.13999654410864,B_130
B68/LH82,118.75013021991856,B_120
B68/PHZ51,118.75013021991856,B_120
B73/DK3IIH6,116.35265886664229,B_115
B73/LH162,140.5614490092628,B_130
B73/MO17,122.56836429897663,B_120
B73/OH7B,124.68222187653035,B_120
B73/PHG35,110.6118769878237,B_110
B73/PHK76,124.58737429265202,B_120
B73/PHM49,123.9256331347662,B_120
B73/PHN82,122.19561971560634,B_120
B73/PHP02,123.87984526313025,B_120
B73/PHZ51,119.47960564432074,B_120
B73/TX205,110.6578675642857,B_110
B73/TX6252,123.8404033686343,B_120
B73/TX775,119.6248195509512,B_120
B73/TX777,120.46430612393615,B_120
B73/TX779,127.04429370865381,B_130
B73_NC230-041-1-1-1-1/LH185,106.4540762561588,B_105
B73_NC230-059-1-1-1-1/LH185,110.5658864113617,B_110
B73_NC230-129-1-1-1-1/LH185,120.72508967442826,B_120
B73_PHG39-1/LH82,114.73834751068375,B_115
B73_PHG39-1/PHZ51,115.55770545016085,B_115
B73_PHG39-10/LH82,131.28735707539678,B_130
B73_PHG39-10/PHZ51,110.6578675642857,B_110
B73_PHG39-11/LH82,108.48405900854699,B_108
B73_PHG39-11/PHZ51,125.8724502057164,B_120
B73_PHG39-12/LH82,115.55770545016085,B_115
B73_PHG39-12/PHZ51,114.73834751068375,B_115
B73_PHG39-13/LH82,110.6578675642857,B_110
B73_PHG39-13/PHZ51,120.45754333603601,B_120
B73_PHG39-14/PHZ51,115.55770545016085,B_115
B73_PHG39-15/LH82,108.48405900854699,B_108
B73_PHG39-15/PHZ51,120.72508967442826,B_120
B73_PHG39-16/LH82,110.6578675642857,B_110
B73_PHG39-16/PHZ51,120.45754333603601,B_120
B73_PHG39-17/LH82,115.0846949031746,B_115
B73_PHG39-17/PHZ51,115.55770545016085,B_115
B73_PHG39-18/LH82,108.48405900854699,B_108
B73_PHG39-18/PHZ51,120.97261231984123,B_120
B73_PHG39-19/LH82,120.45754333603601,B_120
B73_PHG39-19/PHZ51,110.6578675642857,B_110
B73_PHG39-2/LH82,109.93733437188645,B_108
B73_PHG39-2/PHZ51,120.45754333603601,B_120
B73_PHG39-20/LH82,120.97261231984123,B_120
B73_PHG39-20/PHZ51,114.4708011722915,B_115
B73_PHG39-21/LH82,114.73834751068375,B_115
B73_PHG39-21/PHZ51,115.55770545016085,B_115
B73_PHG39-22/LH82,120.45754333603601,B_120
B73_PHG39-22/PHZ51,109.93733437188645,B_108
B73_PHG39-23/LH82,120.45754333603601,B_120
B73_PHG39-23/PHZ51,110.6578675642857,B_110
B73_PHG39-24/LH82,125.8724502057164,B_120
B73_PHG39-24/PHZ51,108.48405900854699,B_108
B73_PHG39-25/LH82,110.6578675642857,B_110
B73_PHG39-25/PHZ51,120.45754333603601,B_120
B73_PHG39-3/LH82,120.45754333603601,B_120
B73_PHG39-3/PHZ51,110.6578675642857,B_110
B73_PHG39-4/LH82,109.93733437188645,B_108
B73_PHG39-4/PHZ51,120.45754333603601,B_120
B73_PHG39-5/PHZ51,120.9926360128205,B_120
B73_PHG39-6/LH82,110.6578675642857,B_110
B73_PHG39-6/PHZ51,120.9926360128205,B_120
B73_PHG39-7/LH82,120.45754333603601,B_120
B73_PHG39-7/PHZ51,110.6578675642857,B_110
B73_PHG39-8/LH82,114.4708011722915,B_115
B73_PHG39-8/PHZ51,120.9926360128205,B_120
B76/LH82,112.76338805617405,B_112
B76/PHZ51,112.76338805617405,B_112
B79/LH82,108.48405900854699,B_108
B79/PHZ51,108.48405900854699,B_108
B84/DK3IIH6,115.51220765544954,B_115
B97/LH195,121.78050015589857,B_120
B97/LH244,126.13108057256335,B_130
B97/LH82,110.6118769878237,B_110
B97/PHB47,115.51220765544954,B_115
BECK_5140HR,105.65910484406754,B_105
BGEM-0001-N/LH195,116.35265886664229,B_115
BGEM-0003-N/LH195,105.1943064699301,B_105
BGEM-0005-N/LH195,116.73993005698254,B_115
BGEM-0039-N/LH195,116.73993005698254,B_115
BGEM-0039-N/LH244,126.13108057256335,B_130
BGEM-0040-N/LH195,116.35265886664229,B_115
BGEM-0046-N/LH195,120.0350520343064,B_120
BGEM-0063-N/LH195,116.73993005698254,B_115
BGEM-0063-N/LH244,126.13108057256335,B_130
BGEM-0066-N/LH195,116.35265886664229,B_115
BGEM-0088-N/LH195,106.29306307936511,B_105
BGEM-0089-N/LH195,116.73993005698254,B_115
BGEM-0089-N/LH244,126.13108057256335,B_130
BGEM-0102-N/LH195,120.0350520343064,B_120
BGEM-0107-N/LH195,116.35265886664229,B_115
BGEM-0110-N/LH195,105.7436847746476,B_105
BGEM-0120-N/LH195,106.29306307936511,B_105
BGEM-0121-N/LH195,120.0350520343064,B_120
BGEM-0122-N/LH195,105.1943064699301,B_105
BGEM-0124-N/LH195,116.73993005698254,B_115
BGEM-0124-N/LH244,124.79492905931171,B_120
BGEM-0125-N/LH195,116.35265886664229,B_115
BGEM-0126-N/LH195,105.7436847746476,B_105
BGEM-0129-N/LH195,120.0350520343064,B_120
BGEM-0129-N/LH244,126.13108057256335,B_130
BGEM-0130-N/LH195,120.0350520343064,B_120
BGEM-0140-N/LH195,120.0350520343064,B_120
BGEM-0141-N/LH195,106.29306307936511,B_105
BGEM-0143-N/LH195,116.35265886664229,B_115
BGEM-0144-N/LH195,105.7436847746476,B_105
BGEM-0145-N/LH195,105.7436847746476,B_105
BGEM-0151-N/LH195,116.73993005698254,B_115
BGEM-0152-N/LH195,105.7436847746476,B_105
BGEM-0157-N/LH195,120.0350520343064,B_120
BGEM-0174-N/LH195,105.7436847746476,B_105
BGEM-0182-N/LH195,116.73993005698254,B_115
BGEM-0184-N/LH195,116.35265886664229,B_115
BGEM-0192-N/LH195,105.1943064699301,B_105
BGEM-0193-N/LH195,120.0350520343064,B_120
BGEM-0202-N/LH195,116.73993005698254,B_115
BGEM-0203-N/LH195,116.73993005698254,B_115
BGEM-0204-N/LH195,116.35265886664229,B_115
BGEM-0205-N/LH195,120.0350520343064,B_120
BGEM-0206-N/LH195,116.73993005698254,B_115
BGEM-0207-N/LH195,116.73993005698254,B_115
BGEM-0209-N/LH195,120.0350520343064,B_120
BGEM-0210-N/LH195,116.35265886664229,B_115
BGEM-0211-N/LH195,116.73993005698254,B_115
BGEM-0215-N/LH195,116.35265886664229,B_115
BGEM-0227-N/LH195,116.73993005698254,B_115
BGEM-0228-N/LH195,116.35265886664229,B_115
BGEM-0235-N/LH195,116.73993005698254,B_115
