Location,Year,Planting,Latitude,Longitude,Genetics,id_trial,id_loc,PlantingDate,Mat,Yield_Sim,MaxStage,StartDate,PlantingDate_Sim,DTM_Sim,MatDate_Sim,EndDate,Result
IAH1_2015,2015,2015-05-02,41.99809519750001,-93.693369725,B_120,1,1,2015-05-02,B_120,11594.586018605936,11,2015-04-02,2015-05-02,164,2015-10-13,2015-11-13,Harvested at Maturity.
IAH1_2015,2015,2015-05-02,41.99809519750001,-93.693369725,B_108,2,1,2015-05-02,B_108,11569.214490819912,11,2015-04-02,2015-05-02,146,2015-09-25,2015-10-25,Harvested at Maturity.
IAH1_2015,2015,2015-05-02,41.99809519750001,-93.693369725,B_110,3,1,2015-05-02,B_110,11829.300375205205,11,2015-04-02,2015-05-02,150,2015-09-29,2015-10-29,Harvested at Maturity.
IAH1_2015,2015,2015-05-02,41.99809519750001,-93.693369725,B_115,4,1,2015-05-02,B_115,11487.431816094906,11,2015-04-02,2015-05-02,159,2015-10-08,2015-11-08,Harvested at Maturity.
IAH1_2015,2015,2015-05-02,41.99809519750001,-93.693369725,B_100,5,1,2015-05-02,B_100,10867.695725807782,11,2015-04-02,2015-05-02,137,2015-09-16,2015-10-16,Harvested at Maturity.
IAH1_2015,2015,2015-05-02,41.99809519750001,-93.693369725,B_105,6,1,2015-05-02,B_105,11392.24406054587,11,2015-04-02,2015-05-02,142,2015-09-21,2015-10-21,Harvested at Maturity.
IAH1_2015,2015,2015-05-02,41.99809519750001,-93.693369725,B_103,7,1,2015-05-02,B_103,10920.65051580187,11,2015-04-02,2015-05-02,139,2015-09-18,2015-10-18,Harvested at Maturity.
IAH1_2015,2015,2015-05-02,41.99809519750001,-93.693369725,B_112,8,1,2015-05-02,B_112,11585.639018372787,11,2015-04-02,2015-05-02,149,2015-09-28,2015-10-28,Harvested at Maturity.
IAH1_2015,2015,2015-05-02,41.99809519750001,-93.693369725,B_130,9,1,2015-05-02,B_130,11955.67295592351,11,2015-04-02,2015-05-02,186,2015-11-04,2015-12-04,Harvested at Maturity.
IAH3_2015,2015,2015-04-30,41.975856285000006,-92.24291804,B_110,10,2,2015-04-30,B_110,12180.336076066647,11,2015-03-30,2015-04-30,152,2015-09-29,2015-10-29,Harvested at Maturity.
IAH3_2015,2015,2015-04-30,41.975856285000006,-92.24291804,B_100,11,2,2015-04-30,B_100,11327.936469648716,11,2015-03-30,2015-04-30,140,2015-09-17,2015-10-17,Harvested at Maturity.
IAH3_2015,2015,2015-04-30,41.975856285000006,-92.24291804,B_108,12,2,2015-04-30,B_108,11821.433257207738,11,2015-03-30,2015-04-30,149,2015-09-26,2015-10-26,Harvested at Maturity.
IAH3_2015,2015,2015-04-30,41.975856285000006,-92.24291804,B_120,13,2,2015-04-30,B_120,12015.059744660395,11,2015-03-30,2015-04-30,166,2015-10-13,2015-11-13,Harvested at Maturity.
IAH3_2015,2015,2015-04-30,41.975856285000006,-92.24291804,B_115,14,2,2015-04-30,B_115,12108.3612074122,11,2015-03-30,2015-04-30,159,2015-10-06,2015-11-06,Harvested at Maturity.
IAH3_2015,2015,2015-04-30,41.975856285000006,-92.24291804,B_112,15,2,2015-04-30,B_112,12156.492528801442,11,2015-03-30,2015-04-30,152,2015-09-29,2015-10-29,Harvested at Maturity.
IAH3_2015,2015,2015-04-30,41.975856285000006,-92.24291804,B_103,16,2,2015-04-30,B_103,11658.27824694004,11,2015-03-30,2015-04-30,144,2015-09-21,2015-10-21,Harvested at Maturity.
IAH3_2015,2015,2015-04-30,41.975856285000006,-92.24291804,B_130,17,2,2015-04-30,B_130,12078.299025369162,8.997768300493464,2015-03-30,2015-04-30,171,2015-10-18,2015-11-18,Dead from Total Senescence.
IAH3_2015,2015,2015-04-30,41.975856285000006,-92.24291804,B_105,18,2,2015-04-30,B_105,11913.68912581562,11,2015-03-30,2015-04-30,146,2015-09-23,2015-10-23,Harvested at Maturity.
INH1_2015,2015,2015-05-14,40.477075,-87.000205,B_108,19,3,2015-05-14,B_108,11746.637196329357,11,2015-04-14,2015-05-14,137,2015-09-28,2015-10-28,Harvested at Maturity.
INH1_2015,2015,2015-05-14,40.477075,-87.000205,B_120,20,3,2015-05-14,B_120,12067.252603885372,11,2015-04-14,2015-05-14,153,2015-10-14,2015-11-14,Harvested at Maturity.
INH1_2015,2015,2015-05-14,40.477075,-87.000205,B_110,21,3,2015-05-14,B_110,11881.975231953036,11,2015-04-14,2015-05-14,142,2015-10-03,2015-11-03,Harvested at Maturity.
INH1_2015,2015,2015-05-14,40.477075,-87.000205,B_115,22,3,2015-05-14,B_115,12103.987483669664,11,2015-04-14,2015-05-14,146,2015-10-07,2015-11-07,Harvested at Maturity.
INH1_2015,2015,2015-05-14,40.477075,-87.000205,B_112,23,3,2015-05-14,B_112,12070.22432093491,11,2015-04-14,2015-05-14,140,2015-10-01,2015-11-01,Harvested at Maturity.
INH1_2015,2015,2015-05-14,40.477075,-87.000205,B_130,24,3,2015-05-14,B_130,12404.89703060987,8.985785800773991,2015-04-14,2015-05-14,158,2015-10-19,2015-11-19,Dead from Total Senescence.
INH1_2015,2015,2015-05-14,40.477075,-87.000205,B_105,25,3,2015-05-14,B_105,11802.221452638987,11,2015-04-14,2015-05-14,132,2015-09-23,2015-10-23,Harvested at Maturity.
INH1_2015,2015,2015-05-14,40.477075,-87.000205,B_103,26,3,2015-05-14,B_103,11322.625446914612,11,2015-04-14,2015-05-14,128,2015-09-19,2015-10-19,Harvested at Maturity.
KSH1_2015,2015,2015-04-23,39.216417750000005,-96.60482225,B_120,27,4,2015-04-23,B_120,11347.716649645254,11,2015-03-23,2015-04-23,135,2015-09-05,2015-10-05,Harvested at Maturity.
KSH1_2015,2015,2015-04-23,39.216417750000005,-96.60482225,B_115,28,4,2015-04-23,B_115,11297.128797001911,11,2015-03-23,2015-04-23,132,2015-09-02,2015-10-02,Harvested at Maturity.
KSH1_2015,2015,2015-04-23,39.216417750000005,-96.60482225,B_112,29,4,2015-04-23,B_112,11084.426634776935,11,2015-03-23,2015-04-23,131,2015-09-01,2015-10-01,Harvested at Maturity.
KSH1_2015,2015,2015-04-23,39.216417750000005,-96.60482225,B_110,30,4,2015-04-23,B_110,11127.048922613283,11,2015-03-23,2015-04-23,130,2015-08-31,2015-09-30,Harvested at Maturity.
KSH1_2015,2015,2015-04-23,39.216417750000005,-96.60482225,B_130,31,4,2015-04-23,B_130,11735.403815287144,11,2015-03-23,2015-04-23,145,2015-09-15,2015-10-15,Harvested at Maturity.
KSH1_2015,2015,2015-04-23,39.216417750000005,-96.60482225,B_108,32,4,2015-04-23,B_108,10904.298448953034,11,2015-03-23,2015-04-23,127,2015-08-28,2015-09-28,Harvested at Maturity.
KSH1_2015,2015,2015-04-23,39.216417750000005,-96.60482225,B_103,33,4,2015-04-23,B_103,10410.441110913973,11,2015-03-23,2015-04-23,121,2015-08-22,2015-09-22,Harvested at Maturity.
KSH1_2015,2015,2015-04-23,39.216417750000005,-96.60482225,B_105,34,4,2015-04-23,B_105,10588.149205622649,11,2015-03-23,2015-04-23,122,2015-08-23,2015-09-23,Harvested at Maturity.
MNH1_2015,2015,2015-05-19,44.07038575,-93.53519625,B_110,35,5,2015-05-19,B_110,11595.213339223128,8.973841674751617,2015-04-19,2015-05-19,152,2015-10-18,2015-11-18,Dead from Total Senescence.
MNH1_2015,2015,2015-05-19,44.07038575,-93.53519625,B_108,36,5,2015-05-19,B_108,11818.929026429876,11,2015-04-19,2015-05-19,163,2015-10-29,2015-11-29,Harvested at Maturity.
MNH1_2015,2015,2015-05-19,44.07038575,-93.53519625,B_105,37,5,2015-05-19,B_105,11615.07528115204,11,2015-04-19,2015-05-19,155,2015-10-21,2015-11-21,Harvested at Maturity.
MNH1_2015,2015,2015-05-19,44.07038575,-93.53519625,B_115,38,5,2015-05-19,B_115,11017.657390164775,8.9087408037323,2015-04-19,2015-05-19,152,2015-10-18,2015-11-18,Dead from Total Senescence.
MNH1_2015,2015,2015-05-19,44.07038575,-93.53519625,B_120,39,5,2015-05-19,B_120,10516.087836324305,8.855219872960337,2015-04-19,2015-05-19,152,2015-10-18,2015-11-18,Dead from Total Senescence.
